-7,262,0
192,238,0
-7,224,0
12,381,0
125,276,0
168,301,0
54,245,0
65,254,0
-6,338,0
30,252,0
41,265,0
92,170,0
155,270,0
71,228,0
96,317,0
82,222,0
80,64,0
53,204,0
46,189,0
-25,145,0
13,302,0
32,246,0
58,253,0
58,115,0
123,208,0
-79,212,0
29,288,0
132,234,0
16,309,0
86,218,0
33,115,0
176,178,0
99,157,0
90,223,0
29,218,0
446,14,1
394,164,1
449,206,1
326,168,1
352,58,1
397,12,1
288,97,1
457,181,1
455,177,1
384,260,1
253,163,1
416,108,1
395,-40,1
441,107,1
310,166,1
484,221,1
356,188,1
388,96,1
415,-14,1
510,126,1
398,-30,1
387,169,1
391,55,1
416,208,1
376,150,1
356,26,1
339,129,1
441,24,1
372,61,1
351,64,1
444,199,1
337,159,1
348,170,1
358,68,1
355,12,1
276,149,1
459,91,1
342,96,1
354,133,1
343,176,1
451,87,1
445,67,1
399,288,1
399,192,1
457,221,1
445,165,1
355,135,1
364,25,1
321,145,1
440,95,1
369,99,1
648,316,2
654,265,2
637,188,2
685,228,2
687,198,2
542,283,2
697,195,2
536,118,2
648,83,2
656,246,2
561,283,2
652,224,2
656,271,2
635,154,2
584,157,2
718,133,2
627,235,2
522,172,2
626,252,2
661,227,2
